,gvkey,permno,ticker,names.firms,names.firms.1,regexes,done
1218,183322,13863,TXMD,THERAPEUTICSMD INC,THERAPEUTICSMD,,1
1219,10530,62092,TMO,THERMO FISHER SCIENTIFIC INC,THERMO FISHER SCIENTIFIC,THERMO FISHER,1
1220,120358,86924,TST,THESTREET INC,THESTREET,,1
1221,165912,91102,TWPG,THOMAS WEISEL PARTNERS GRP,THOMAS WEISEL PARTNERS,,1
1222,24436,76999,THQIQ,THQ INC,THQ,,1
1223,10565,50606,TDW,TIDEWATER INC,TIDEWATER,,1
1224,13646,75100,TIF,TIFFANY & CO,TIFFANY,,1
1225,187575,13399,TLYS,TILLY'S INC,TILLY'S,TILLY.?S,1
1226,13554,75101,TBL,TIMBERLAND CO  -CL A,TIMBERLAND,,1
1227,19580,14637,TIME,TIME INC,TIME,TIME INC*,1
1228,176404,91883,TWC,TIME WARNER CABLE INC,TIME WARNER CABLE,,1
1229,25056,77418,TWX,TIME WARNER INC,TIME WARNER,,1
1230,10581,14795,TKR,TIMKEN CO,TIMKEN,,1
1231,28295,79198,TWI,TITAN INTERNATIONAL INC,TITAN INTERNATIONAL,,1
1232,178973,92471,TITN,TITAN MACHINERY INC,TITAN MACHINERY,,1
1233,24396,76788,TVTY,TIVITY HEALTH INC,TIVITY HEALTH,,1
1234,64480,84624,TIVO,TIVO CORP,TIVO,,1
1235,11672,40539,TJX,TJX COS INC (THE),TJX,,1
1236,184880,12682,TMS,TMS INTERNATIONAL CORP,TMS INTERNATIONAL,,1
1237,157118,90078,TNS,TNS INC,TNS,,1
1238,61725,82755,TLGD,TOLLGRADE COMMUNICATIONS INC,TOLLGRADE COMMUNICATIONS,,1
1239,177125,92053,TOMO,TOMOTHERAPY INC,TOMOTHERAPY,TOMOTHERAPY INC*,1
1240,23245,15397,BLD,TOPBUILD CORP,TOPBUILD,,1
1241,15027,12190,TORM,TOR MINERALS INTL INC,TOR MINERALS,,1
1242,10618,60580,TTC,TORO CO,TORO,,1
1243,10631,76639,TSS,TOTAL SYSTEM SERVICES INC,TOTAL SYSTEM SERVICES,,1
1244,160416,90426,TWGP,TOWER GROUP INTL LTD,TOWER,TOWER GROUP*,1
1245,184785,12340,TOWR,TOWER INTERNATIONAL INC,TOWER INTERNATIONAL,,1
1246,175509,92054,TWER,TOWERSTREAM CORP,TOWERSTREAM,,1
1247,27574,16188,TPIC,TPI COMPOSITES INC,TPI COMPOSITES,,1
1248,29736,80286,TSCO,TRACTOR SUPPLY CO,TRACTOR SUPPLY,,1
1249,27885,16309,TTD,TRADE DESK INC,TRADE DESK,,1
1250,65521,85486,TRAD,TRADESTATION GROUP INC,TRADESTATION,,1
1251,10685,76946,TRNS,TRANSCAT INC,TRANSCAT,,1
1252,33601,17899,TBIO,TRANSLATE BIO INC,TRANSLATE BIO,,1
1253,24638,15478,TRU,TRANSUNION,TRANSUNION,,1
1254,60846,81756,TXCCQ,TRANSWITCH CORP,TRANSWITCH,,1
1255,148350,91727,TA,TRAVELCENTERS OF AMERICA INC,TRAVELCENTERS OF AMERICA,,1
1256,62689,59459,TRV,TRAVELERS COS INC,TRAVELERS,TRAVELERS COMPANIES,1
1257,10297,74406,TRR,TRC COS INC,TRC,,1
1258,1712,14761,TREC,TRECORA RESOURCES,TRECORA RESOURCES,,1
1259,163983,90775,THS,TREEHOUSE FOODS INC,TREEHOUSE FOODS,,1
1260,119316,86810,TREX,TREX CO INC,TREX,,1
1261,10726,15117,TRCO,TRIBUNE MEDIA CO,TRIBUNE MEDIA,,1
1262,33600,17900,TCDA,TRICIDA INC,TRICIDA,,1
1263,26015,78208,TRIDQ,TRIDENT MICROSYSTEMS INC,TRIDENT MICROSYSTEMS,,1
1264,15252,92029,TRS,TRIMAS CORP,TRIMAS,,1
1265,22815,76230,TRMB,TRIMBLE INC,TRIMBLE,,1
1266,140988,14521,TNET,TRINET GROUP INC,TRINET,,1
1267,10735,55001,TRN,TRINITY INDUSTRIES,TRINITY INDUSTRIES,,1
1268,174647,92506,GTS,TRIPLE-S MANAGEMENT CORP,TRIPLE-S MANAGEMENT,TRIPLE.?S MANAGEMENT,1
1269,21815,15084,TBK,TRIUMPH BANCORP INC,TRIUMPH BANCORP,,1
1270,63876,84041,TGI,TRIUMPH GROUP INC,TRIUMPH,TRIUMPH GROUP,1
1271,124638,87350,TZIX,TRIZETTO GROUP INC,TRIZETTO,,1
1272,153028,90874,TRLG,TRUE RELIGION APPAREL INC,TRUE RELIGION APPAREL,,
1273,22207,83671,TBI,TRUEBLUE INC,TRUEBLUE,,1
1274,20540,14677,TRUE,TRUECAR INC,TRUECAR,,1
1275,17501,13970,THST,TRUETT-HURST INC,TRUETT-HURST,TRUETT.?HURST,1
